review,rating
Perongeluk 2x betaald voor mijn bestelling. Heb ze gebeld en ben vriendelijk te woord gestaan. Meteen geld terug gekregen na 4 dagen.,5
Gaat er iemand nog wat doen aan het feit dat er fooi gegeven kan worden via de bestelling maar dat de bezorger dit NOOIT krijgt? Als hier niet iets aan gedaan wordt ben ik bereid om naar BOOS te bellen en/of dit sowieso naar social media op een grote schaal te brengen. Jullie krijgen hier honderden klachten over elke dag maar niemand doet hier wat aan?Thuisbezorgd neemt dit totaal niet serieus en sinds het gebeuren dat klanten het aantal percentages fooi kunnen selecteren via de app krijgen bezorgers geen cent meer aan de deur omdat er van wordt uitgegaan dat wij het al hebben gekregen.,1
"Als ik een 0 had kunnen geven had ik dit gedaan, Vandaag 2 uur op een bestelling moeten wachten. Contact opgenomen werd er aangegeven dat het druk is en ze hier niets aan kunnen doen. Gezien onze pauze al een tijdje voorbij was aangegeven dat we ons geld terug willen want er stond dat we nog 45 minuten moesten wachten. Dit zou geregeld worden en ondertussen wat anders te eten gehaald. Bellen ze op om te zeggen dat de bezorger er bijna is. krijgen we koud eten en geeft thuisbezorgd ook nog eens aan dat we geen voucher meer krijgen en ook ons geld niet terug. Heb een hoop meegemaakt maar dit is de slechtste service wat ik ooit heb meegemaakt.bestelnummer SRVOVH",1
"€30 aan eten besteld via thuisbezorgd.nl maar dit is door een storing op de app nooit bezorgd. Thuisbezorgd.nl wil geen hand in eigen boezem steken voor een trouwe klant, zij pakken liever de €30 dan dat zij een trouwe klant tevreden houden en die zo twee a drie keer per week blijft bestellen, go figure. nu zit ik bij Eat Uber.Leon, Ik heb gedaan wat je zei en een mailtje gestuurd. Antwoord wat ik krijg is wij kennen geen Leon. Ik heb het idee dat dit berichtje een trucje is om mensen te laten zien dat het jullie wat interesseert maar het interesseert jullie niks.Jullie mogen het geld houden, veel plezier daarmee.Gegroet",1
"Wat een stelletje amateurs daar bij Thuisbezorgd. Vreselijk. 3 x misgegaan. Ook wel deels mijn eigen fout, om toch steeds weer via hun te bestellen. Afgelopen vrijdag besteld , maar na 3 kwartier niks. 4 telefoontjes verder, en onnodige nutteloze discussies, kwam het eten, anderhalf uur later.. Het enige wat wel goed gaat bij jullie, is het geld incasseren.",1
"Zeer slechte service van thuisbezorgd.nl. Verkeerde bestelling ontvangen. Ze geven nog toe dat de fout bij hun ligt, enige wat ze voor me kunnen doen op dit moment is voor de volgende keer een voucher geven van 10% korting, daar heb ik niks aan, wil gewoon dat ik de juiste bestelling ontvang. Dat wat is bezorgd, kan nu de prullenbak in.",1
"Heerlijk gegeten met dank aan de Peppermill in Hoogeveen.Het eten wat goed gekruid, goed op temperatuur met snelle en prettige bezorging plus; meer dan voldoende. We kregen het niet op. De lekkere salade die we hadden bijbesteld is dan ook de lunch van morgen. Jammie.Hartelijk dank! Zeker een aanrader voor een volgende keer!",5
"Heerlijk gegeten, zowel de vleesgerechten als vega.De extra aloe vera-naan was een heerlijke smakelijke verrassing.Aanrader!(en dank voor de mango-lassie👍)",5
Goeie service. Altijd snel en lekker eten.,4
"Wat een slechte klantenservice bij thuisbezorgd.nl Medewerkster neemt je niet serieus, luistert niet en blijft haar mantra’s herhalen dat het allemaal aan het restaurant ligt. De uiteindelijke belofte over terugbetaling wordt niet nagekomen. Uitstekend moment om rechtstreeks te bestellen bij je lokale ondernemer en de profiteurs van thuisbezorg.nl links te laten liggen.",1
